,First,Second,Third
B-C-Si,B,C,Si
Ti-Al-Co,Ti,Al,Co
Ti-Al-H,Ti,Al,H
Ti-Al-Nb,Ti,Al,Nb
Ti-Al-Sn,Ti,Al,Sn
Ti-Al-Y,Ti,Al,Y
Ti-B-Hf,Ti,B,Hf
Ti-B-Si,Ti,B,Si
Ti-B-W,Ti,B,W
Ti-C-Mo,Ti,C,Mo
Ti-C-V,Ti,C,V
Ti-Co-Sn,Ti,Co,Sn
Ti-Cr-Mn,Ti,Cr,Mn
Ti-Cr-O,Ti,Cr,O
Ti-Cr-V,Ti,Cr,V
Ti-Cu-H,Ti,Cu,H
Ti-Cu-Si,Ti,Cu,Si
Ti-H-Ni,Ti,H,Ni
Ti-Hf-Zr,Ti,Hf,Zr
Ti-Mo-Si,Ti,Mo,Si
Ti-Mo-W,Ti,Mo,W
Ti-Nb-O,Ti,Nb,O
Ti-Nb-V,Ti,Nb,V
Ti-Ni-Sn,Ti,Ni,Sn
Ti-O-W,Ti,O,W
Ti-Sn-V,Ti,Sn,V
Ti-Ta-Zr,Ti,Ta,Zr
Ti-Ag-Pd,Ti,Ag,Pd
Ti-Al-Cr,Ti,Al,Cr
Ti-Al-Mn,Ti,Al,Mn
Ti-Al-O,Ti,Al,O
Ti-Al-Ta,Ti,Al,Ta
Ti-Al-Zr,Ti,Al,Zr
Ti-B-Mo,Ti,B,Mo
Ti-B-Sn,Ti,B,Sn
Ti-B-Zr,Ti,B,Zr
Ti-C-Nb,Ti,C,Nb
Ti-C-W,Ti,C,W
Ti-Co-Ta,Ti,Co,Ta
Ti-Cr-Mo,Ti,Cr,Mo
Ti-Cr-Si,Ti,Cr,Si
Ti-Cr-W,Ti,Cr,W
Ti-Cu-N,Ti,Cu,N
Ti-Cu-Sn,Ti,Cu,Sn
Ti-H-O,Ti,H,O
Ti-Mo-N,Ti,Mo,N
Ti-Mo-Sn,Ti,Mo,Sn
Ti-Mo-Zr,Ti,Mo,Zr
Ti-Nb-Si,Ti,Nb,Si
Ti-Nb-W,Ti,Nb,W
Ti-O-Si,Ti,O,Si
Ti-O-Zr,Ti,O,Zr
Ti-Sn-Zr,Ti,Sn,Zr
Ti-V-W,Ti,V,W
Ti-Al-B,Ti,Al,B
Ti-Al-Cu,Ti,Al,Cu
Ti-Al-Mo,Ti,Al,Mo
Ti-Al-Pd,Ti,Al,Pd
Ti-Al-V,Ti,Al,V
Ti-B-Co,Ti,B,Co
Ti-B-Nb,Ti,B,Nb
Ti-B-Ta,Ti,B,Ta
Ti-C-Cr,Ti,C,Cr
Ti-C-Si,Ti,C,Si
Ti-C-Zr,Ti,C,Zr
Ti-Cr-Fe,Ti,Cr,Fe
Ti-Cr-N,Ti,Cr,N
Ti-Cr-Sn,Ti,Cr,Sn
Ti-Cr-Zr,Ti,Cr,Zr
Ti-Cu-Nb,Ti,Cu,Nb
Ti-Fe-Mo,Ti,Fe,Mo
Ti-H-Zr,Ti,H,Zr
Ti-Mo-Nb,Ti,Mo,Nb
Ti-Mo-Ta,Ti,Mo,Ta
Ti-N-Nb,Ti,N,Nb
Ti-Nb-Sn,Ti,Nb,Sn
Ti-Nb-Zr,Ti,Nb,Zr
Ti-O-Ta,Ti,O,Ta
Ti-Pd-V,Ti,Pd,V
Ti-Ta-V,Ti,Ta,V
Ti-V-Zr,Ti,V,Zr
Ti-Al-C,Ti,Al,C
Ti-Al-Fe,Ti,Al,Fe
Ti-Al-N,Ti,Al,N
Ti-Al-Si,Ti,Al,Si
Ti-Al-W,Ti,Al,W
Ti-B-Cr,Ti,B,Cr
Ti-B-Ni,Ti,B,Ni
Ti-B-V,Ti,B,V
Ti-C-Cu,Ti,C,Cu
Ti-C-Ta,Ti,C,Ta
Ti-Co-Mo,Ti,Co,Mo
Ti-Cr-H,Ti,Cr,H
Ti-Cr-Nb,Ti,Cr,Nb
Ti-Cr-Ta,Ti,Cr,Ta
Ti-Cu-Fe,Ti,Cu,Fe
Ti-Cu-O,Ti,Cu,O
Ti-Fe-V,Ti,Fe,V
Ti-Hf-Ta,Ti,Hf,Ta
Ti-Mo-O,Ti,Mo,O
Ti-Mo-V,Ti,Mo,V
Ti-N-Ta ,Ti,N,Ta 
Ti-Nb-Ta,Ti,Nb,Ta
Ti-Ni-Pd,Ti,Ni,Pd
Ti-O-V,Ti,O,V
Ti-Si-W,Ti,Si,W
Ti-Ta-W,Ti,Ta,W
Ti-W-Zr ,Ti,W,Zr 
